moneyness_bucket,quote_count,mean_error,mae,max_abs_error,mean_abs_relative_error,mean_abs_vol_error,rmse
deep_otm_put/itm_call,12,-0.06979486982062562,0.2151965796398321,0.5655653321926977,0.17294768681469008,0.06705297317428657,0.25698412103072565
otm_put/itm_call,13,-0.06187988465325525,0.21459094261812592,0.5492678214149258,0.061377982994632305,0.03145614023746231,0.24995498478025413
atm,16,-0.09268863617890546,0.23151950047258682,1.0572936336570624,0.03041083736378021,0.01697177477899736,0.36692286333886354
otm_call/itm_put,22,0.025872833261576834,0.15608285022224233,0.334309822676925,0.19588212422847598,0.027141497478784502,0.18237465324113597
deep_otm_call/itm_put,7,-0.7447881820332821,0.7749102121645111,1.420884681374524,0.09256476693442546,0.22277464246830395,0.884022551810007
