contract_symbol,ticker,underlying,option_type,valuation_date,expiration_date,time_to_maturity_days,time_to_maturity_years,strike,bid,mid,ask,last,underlying_price,implied_volatility,intrinsic_value,extrinsic_value,bid_size,ask_size,open_interest,volume,in_the_money,first_traded_at,last_updated_at,delta,gamma,theta,vega,rho,market_price,moneyness,log_moneyness,bid_ask_spread_ratio,implied_vol,repriced,calibration_error
NVDA260320C00182500,NVDA,NVDA,call,2026-03-02,2026-03-20,18,0.049281314168377825,182.5,7.65,7.7,7.75,7.7,182.48,,0.0,7.7,87,80,2980,4781,False,2026-02-23 14:30:00,2026-03-02 21:00:00,,,,,,7.7,1.0001096010521702,0.00010959504641367421,0.012987012987012941,0.46922717715752355,7.700000000000003,2.6645352591003757e-15
NVDA260320C00185000,NVDA,NVDA,call,2026-03-02,2026-03-20,18,0.049281314168377825,185.0,6.35,6.4,6.45,6.44,182.48,,0.0,6.4,87,52,48083,22269,False,2025-01-15 14:30:00,2026-03-02 21:00:00,,,,,,6.4,1.0138097325734328,0.013715247102192287,0.015625000000000083,0.45958022994614645,6.400000000000006,5.329070518200751e-15
NVDA260320C00187500,NVDA,NVDA,call,2026-03-02,2026-03-20,18,0.049281314168377825,187.5,5.25,5.3,5.35,5.3,182.48,,0.0,5.3,87,87,5393,3784,False,2026-02-23 14:30:00,2026-03-02 21:00:00,,,,,,5.3,1.0275098640946954,0.027138267434332963,0.01886792452830182,0.45418656524798734,5.300000000058915,5.891553911396841e-11
NVDA260320C00190000,NVDA,NVDA,call,2026-03-02,2026-03-20,18,0.049281314168377825,190.0,4.3,4.325,4.35,4.35,182.48,,0.0,4.325,1,52,114096,18812,False,2025-01-15 14:30:00,2026-03-02 21:00:00,,,,,,4.325,1.041209995615958,0.04038349418435359,0.011560693641618455,0.4484521003876667,4.324999999991576,-8.424372310855688e-12
NVDA260320C00192500,NVDA,NVDA,call,2026-03-02,2026-03-20,18,0.049281314168377825,192.5,3.45,3.475,3.5,3.5,182.48,,0.0,3.475,52,1,6550,2883,False,2026-02-23 14:30:00,2026-03-02 21:00:00,,,,,,3.475,1.0549101271372205,0.05345557575170635,0.014388489208633042,0.4425567533239259,3.4750000000000014,1.3322676295501878e-15
NVDA260320C00195000,NVDA,NVDA,call,2026-03-02,2026-03-20,18,0.049281314168377825,195.0,2.77,2.785,2.8,2.81,182.48,,0.0,2.785,6,2,86753,17711,False,2025-01-15 14:30:00,2026-03-02 21:00:00,,,,,,2.785,1.0686102586584831,0.06635898058761422,0.010771992818671383,0.43948594508432853,2.7849999999999895,-1.0658141036401503e-14
NVDA260320C00197500,NVDA,NVDA,call,2026-03-02,2026-03-20,18,0.049281314168377825,197.5,2.19,2.21,2.23,2.32,182.48,,0.0,2.21,26,17,6627,4776,False,2026-02-23 14:30:00,2026-03-02 21:00:00,,,,,,2.21,1.0823103901797457,0.07909800636504397,0.018099547511312233,0.4369803965586953,2.2099999999999795,-2.042810365310288e-14
NVDA260320C00200000,NVDA,NVDA,call,2026-03-02,2026-03-20,18,0.049281314168377825,200.0,1.73,1.75,1.77,1.75,182.48,,0.0,1.75,6,33,282410,50462,False,2025-01-15 14:30:00,2026-03-02 21:00:00,,,,,,1.75,1.0960105217010083,0.09167678857190407,0.022857142857142878,0.43614945135825517,1.749999999999936,-6.394884621840902e-14
NVDA260320C00202500,NVDA,NVDA,call,2026-03-02,2026-03-20,18,0.049281314168377825,202.5,1.35,1.37,1.39,1.37,182.48,,0.0,1.37,52,18,15163,3404,False,2026-02-23 14:30:00,2026-03-02 21:00:00,,,,,,1.37,1.109710653222271,0.10409930857046122,0.029197080291970663,0.4351482585340719,1.3699999999999193,-8.08242361927114e-14
NVDA260320C00205000,NVDA,NVDA,call,2026-03-02,2026-03-20,18,0.049281314168377825,205.0,1.06,1.075,1.09,1.07,182.48,,0.0,1.075,24,11,47067,6238,False,2026-02-23 14:30:00,2026-03-02 21:00:00,,,,,,1.075,1.1234107847435335,0.11636940116227557,0.027906976744186074,0.43577787796297496,1.0750000000000135,1.354472090042691e-14
