line_index,portfolio,product_id,source_sheet,underlying,quantity,product_type,status,price,delta,gamma,vega,theta,rho,maturity_years,strike,error_message
34,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
35,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
36,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
37,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
38,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
39,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
40,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
41,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
42,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
43,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
44,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
45,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
46,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
47,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
48,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
49,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
50,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
51,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
52,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
53,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
54,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
55,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
56,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
57,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
58,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
59,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
60,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
61,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
62,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
63,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
64,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
65,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
66,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
67,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
68,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
69,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
70,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
71,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
72,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
73,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
74,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
