scenario,portfolio,risk_currency,price,delta,gamma,vega,theta,rho,dv01,line_count,base_price,pnl_vs_base,base_scenario
Risk-off,PF2_Equity_Yield,USD,193.50846059754997,0.2583019527188453,0.0020219651479532978,34.46115381012719,-9.311469035719648,119.30169476421518,0.0,2,196.75822856899947,-3.2497679714495007,Base
Risk-off,PF3_Convexity_Protection,EUR,45512.57646253924,0.0,0.0,0.0,0.0,954567.7245789557,-95.45677245789557,2,50307.37643349402,-4794.79997095478,Base
Risk-off,PF3_Convexity_Protection,USD,37717.66010459524,0.0,0.0,0.0,0.0,0.0,0.0,1,43095.960164989505,-5378.300060394264,Base
Risk-off,PF4_Balanced_Multi_Product,EUR,1571648.664550024,0.0,0.0,0.0,0.0,80888282.1481023,-8088.82821481023,1,1997540.4968210577,-425891.83227103367,Base
Risk-off,PF4_Balanced_Multi_Product,USD,1738605.0954098646,12089.363901245193,-374.5268855265299,-2557463.083413048,1396852.3435168613,358043.399302849,0.0,3,2051555.8746963702,-312950.77928650565,Base
Vol +5pts,PF1_Defensive_Income,EUR,12008.897854856354,0.0,0.0,0.0,0.0,839059.3668276415,-83.90593668276415,1,12008.897854856354,0.0,Base
Vol +5pts,PF1_Defensive_Income,USD,731856.8921757404,20654.02530497693,-9.816803108917478,-20879.940821297805,-91168.85379481879,389301.50734213606,0.0,2,732491.0349822065,-634.1428064660868,Base
Vol +5pts,PF2_Equity_Yield,EUR,121988.21313808925,0.0,0.0,0.0,0.0,2854795.6735391924,-285.47956735391926,1,121988.21313808925,0.0,Base
Vol +5pts,PF2_Equity_Yield,USD,198.0252789613653,0.2306960876689387,0.00164435700993431,34.59929453887039,-9.110220402643906,119.41906365060503,0.0,2,196.75822856899947,1.2670503923658316,Base
Vol +5pts,PF3_Convexity_Protection,EUR,50307.37643349402,0.0,0.0,0.0,0.0,963192.8246632742,-96.31928246632742,2,50307.37643349402,0.0,Base
Vol +5pts,PF3_Convexity_Protection,USD,29646.952172102912,0.0,0.0,0.0,0.0,0.0,0.0,1,43095.960164989505,-13449.007992886593,Base
Vol +5pts,PF4_Balanced_Multi_Product,EUR,1997540.4968210577,0.0,0.0,0.0,0.0,89455301.46378325,-8945.530146378325,1,1997540.4968210577,0.0,Base
Vol +5pts,PF4_Balanced_Multi_Product,USD,1935916.247076443,3721.128189828174,-264.33007178202,-2228375.9961328716,1278851.4466493565,-329118.0424454395,0.0,3,2051555.8746963702,-115639.62761992728,Base
