portfolio,currency,risk_currency,price,delta,gamma,vega,theta,rho,dv01,line_count,gross_price
PF1_Defensive_Income,EUR,EUR,12008.897854856354,0.0,0.0,0.0,0.0,839059.3668276415,-83.90593668276415,1,12008.897854856354
PF1_Defensive_Income,USD,USD,732491.0349822065,23223.232947046483,-2.0026793534168217,-3714.1142554206385,-150272.93526800655,445388.025823773,0.0,2,732491.0349822065
PF2_Equity_Yield,EUR,EUR,121988.21313808925,0.0,0.0,0.0,0.0,2854795.6735391924,-285.47956735391926,1,121988.21313808925
PF2_Equity_Yield,USD,USD,196.75822856899947,0.5374096523309714,-23.863577534561244,-39.46405623428702,-11.318195731480268,-659.5870975082479,0.0,2,196.75822856899947
PF3_Convexity_Protection,EUR,EUR,50307.37643349402,0.0,0.0,0.0,0.0,963192.8246632742,-96.31928246632742,2,50307.37643349402
PF3_Convexity_Protection,USD,USD,43095.960164989505,-836.0504278384655,-43.842188825383715,-339329.96385781834,165163.15582799225,14924.806366034409,0.0,1,43095.960164989505
PF4_Balanced_Multi_Product,EUR,EUR,1997540.4968210577,0.0,0.0,0.0,0.0,89455301.46378325,-8945.530146378325,1,1997540.4968210577
PF4_Balanced_Multi_Product,USD,USD,2051555.8746963702,1321.7961729213569,-349.0157686436843,-2378275.9418457933,1208313.320207008,-576893.3063477793,0.0,3,2051555.8746963702
